"Journal Data Filtered By:  Selected JCR Year: 2016 Selected Editions: SCIE,SSCI Selected Categories: 'ECOLOGY','EVOLUTIONARY%20BIOLOGY' Selected Category Scheme: WoS",,,,
Rank,Full Journal Title,Total Cites,Journal Impact Factor,Eigenfactor Score
123,Fire Ecology,467,1.359,0.00086
124,ENVIRONMENTAL BIOLOGY OF FISHES,5300,1.307,0.00454
125,INSECT SYSTEMATICS & EVOLUTION,349,1.3,0.00058
126,CHEMOECOLOGY,930,1.298,0.0011
127,WILDLIFE RESEARCH,2389,1.29,0.00249
128,ECOLOGICAL RESEARCH,2862,1.283,0.00364
129,WILDLIFE BIOLOGY,1272,1.28,0.00158
130,Journal of Biological Dynamics,422,1.279,0.00165
131,EUROPEAN JOURNAL OF WILDLIFE RESEARCH,1465,1.264,0.00319
132,PLANT SPECIES BIOLOGY,575,1.25,0.00075
133,SYSTEMATIC BOTANY,2673,1.24,0.00304
134,PLANT SYSTEMATICS AND EVOLUTION,4322,1.239,0.00431
135,Theoretical Ecology,514,1.221,0.00226
136,RANGELAND JOURNAL,749,1.211,0.00096
137,Marine Biology Research,1025,1.161,0.0029
138,SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,445,1.143,0.00036
139,ECOLOGICAL MANAGEMENT & RESTORATION,622,1.139,0.00097
140,FLORA,2304,1.125,0.00251
141,Polar Science,364,1.118,0.00098
142,Bulletin of the Peabody Museum of Natural History,193,1.071,0.00043
143,JOURNAL OF TROPICAL ECOLOGY,3022,1.041,0.00202
144,ANTHROPOLOGICAL SCIENCE,414,0.971,0.0007
145,AFRICAN JOURNAL OF RANGE & FORAGE SCIENCE,323,0.961,0.00029
146,NATURAL AREAS JOURNAL,645,0.949,0.00082
147,JOURNAL OF FRESHWATER ECOLOGY,904,0.942,0.00069
148,WEB ECOLOGY,110,0.941,0.00021
149,BIOCHEMICAL SYSTEMATICS AND ECOLOGY,3882,0.929,0.00388
150,POLAR RECORD,517,0.914,0.00079
151,EVOLUTIONARY ECOLOGY RESEARCH,1890,0.837,0.00115
152,JOURNAL OF NATURAL HISTORY,2906,0.834,0.00325
153,COMMUNITY ECOLOGY,492,0.782,0.00093
154,ACTA AMAZONICA,1384,0.775,0.00105
155,PROCEEDINGS OF THE ACADEMY OF NATURAL SCIENCES OF PHILADELPHIA,1164,0.76,0.00014
156,AUSTRALIAN SYSTEMATIC BOTANY,704,0.75,0.0005
157,Human-Wildlife Interactions,171,0.704,0.00068
158,REVISTA CHILENA DE HISTORIA NATURAL,1182,0.702,0.00072
159,COMPOST SCIENCE & UTILIZATION,602,0.7,0.00033
160,Israel Journal of Ecology & Evolution,205,0.696,0.00027
161,Landscape and Ecological Engineering,250,0.692,0.00039
162,AFRICAN JOURNAL OF ECOLOGY,1684,0.69,0.00143
163,ECOSCIENCE,1697,0.688,0.00105
164,APPLIED ECOLOGY AND ENVIRONMENTAL RESEARCH,459,0.681,0.00058
165,POLISH JOURNAL OF ECOLOGY,607,0.639,0.00084
166,AMERICAN MIDLAND NATURALIST,3548,0.636,0.00117
166,POLISH POLAR RESEARCH,578,0.636,0.00059
168,Journal of Fish and Wildlife Management,184,0.633,0.00075
169,NORTHWEST SCIENCE,701,0.548,0.00057
170,EKOLOJI,251,0.516,0.00039
171,NORTHEASTERN NATURALIST,515,0.431,0.00082
172,RUSSIAN JOURNAL OF ECOLOGY,681,0.43,0.00064
173,SOUTHEASTERN NATURALIST,549,0.369,0.00082
174,VIE ET MILIEU-LIFE AND ENVIRONMENT,482,0.343,0.00017
175,Eco mont-Journal on Protected Mountain Areas Research,43,0.333,0.00008
176,JOURNAL OF EVOLUTIONARY BIOCHEMISTRY AND PHYSIOLOGY,343,0.316,0.00028
177,African Journal of Wildlife Research,10,0.312,0.00005
178,WESTERN NORTH AMERICAN NATURALIST,611,0.311,0.00067
179,Contemporary Problems of Ecology,268,0.306,0.00047
180,PROCEEDINGS OF THE LINNEAN SOCIETY OF NEW SOUTH WALES,601,0.25,0.00015
181,INTERCIENCIA,832,0.221,0.00067
182,SOUTHWESTERN NATURALIST,1170,0.219,0.00057
183,REVUE D ECOLOGIE-LA TERRE ET LA VIE,272,0.136,0.00013
184,NATURAL HISTORY,356,0.051,0.00004
Copyright © 2017 Clarivate Analytics,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,
